UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,CLUSTER
AC,13667.0,1.1622028785070924,478.2776761542402,511.42407258359543,502.95258652228006,506.76658374185996,621.2848467110558,524.1411531426063,0
AL,41195.0,1.0183891089873482,487.2652093700692,518.1071999029009,507.2029760893313,527.8385095278553,646.9726908605413,537.4773171501396,1
AM,38246.0,0.9007572253026301,476.3546044030749,506.1086623437745,496.79704805731325,500.6016655336505,596.0618103853998,515.1847581446425,0
AP,13485.0,1.0214804389887093,475.63494252873556,511.05587690025953,497.03098998887657,497.41664812754914,614.8520578420467,519.1981030774936,0
BA,175261.0,1.044609837361865,486.8981712988057,520.7569134034383,509.99481230849995,522.4621204945767,644.2805872384615,536.8785209487564,1
CE,143992.0,0.8265766448836234,490.29768389910555,522.0496485915885,510.78299905550307,537.3250395855325,656.138118784377,543.3186979832215,1
DF,42911.0,2.2212275709430083,512.9347929435343,550.4517070215096,544.2150031460465,561.3885111043788,664.4575982848221,566.6895225000583,2
ES,40704.0,1.7575856312703932,506.30028007075475,544.1450668238994,530.7390846108491,562.4995405856918,673.6925117924528,563.4752967767296,2
GO,85776.0,1.687885050896398,493.8541351893304,528.8260270938257,518.0277839955232,539.9665104458123,659.6912889386308,548.0731491326245,1
MA,84735.0,0.9180355202076478,477.026899156193,503.2339611730691,490.66658523632503,506.39578450463205,632.5414527645011,521.9729365669441,0
MG,207444.0,1.864625121140082,512.084408322246,550.9920113379997,538.2567565222421,576.4739467036887,686.2123753880566,572.8038996548466,2
MS,26887.0,1.7967288847724965,495.1670919031502,526.3025216647451,517.635876073939,538.2234388366126,639.5484806783948,543.3754818313683,1
MT,35165.0,2.0752609611079276,489.91747760557377,522.909401393431,511.71206028721735,531.0464894070809,639.092848002275,538.9356553391156,1
PA,126802.0,1.0544702877163106,476.7985560164666,509.88996309206476,493.7083303102475,502.97444756391855,633.6054636362203,523.3953521237835,0
PB,69043.0,0.9186121027824439,490.38825659371696,521.8475428356242,510.8319539996814,529.6217111075707,661.4321509783758,542.8243231029937,1
PE,122727.0,1.0003721768828657,492.9253750193519,523.9017640779942,515.3390052718636,540.653363155622,655.3858564130143,545.6410727875691,1
PI,56919.0,0.8530879370347617,482.96582511990727,512.3027881726665,498.64841792722996,523.1158910030042,654.1738259632109,534.2413496372037,1
PR,96904.0,2.317318820016978,508.4960827210436,544.195115784694,534.3808614711467,561.4736791050938,643.055601419962,558.320268100388,2
RJ,162658.0,1.8373972609356903,506.0329667154397,548.1332040231653,538.7993298823297,559.4876532356232,669.9674162967699,564.4841140306655,2
RN,59327.0,1.1392726526494956,496.98488377972933,528.6944072681915,518.9949061978526,537.159488934212,654.9382237429838,547.3543819845938,1
RO,18481.0,1.71042008845434,482.6306422812619,515.1382392727667,503.8298360478329,518.302970618473,630.9723499810616,530.1748076402791,0
RR,4577.0,1.360328110785975,494.9037142232904,527.967249289928,517.2435219576141,527.4447236180905,629.1369892942977,539.3392396766441,1
RS,98560.0,2.2754113233369817,503.8751998782467,544.606122159091,538.1143963068181,560.9333877840909,659.8782467532468,561.4814705762988,2
SC,54202.0,2.688109046326802,510.79310542046426,548.0458470167152,538.9918434744105,569.3973672558209,665.0337625917863,566.4523851518394,2
SE,39903.0,0.9388333957854582,488.6767761822419,521.2227952785505,508.1080394957772,523.7296819787986,666.8716637846778,541.7217913440091,1
SP,362333.0,2.3497149060833404,511.7248820836081,552.2997750687904,546.570634747594,575.1762254611089,665.274595468809,570.2092225659821,2
TO,18150.0,1.3051679615589404,483.93684848484855,512.7635371900826,500.46391735537196,520.7618071625344,640.595041322314,531.7042303030302,0
